"year","country","region","wealth","quality.of.government"
2000,"DE","BADEN-WÜRTTEMBERG",29700,NA
2001,"DE","BADEN-WÜRTTEMBERG",30900,NA
2002,"DE","BADEN-WÜRTTEMBERG",31000,NA
2003,"DE","BADEN-WÜRTTEMBERG",31100,NA
2004,"DE","BADEN-WÜRTTEMBERG",31400,NA
2005,"DE","BADEN-WÜRTTEMBERG",31700,NA
2006,"DE","BADEN-WÜRTTEMBERG",33700,NA
2007,"DE","BADEN-WÜRTTEMBERG",35600,NA
2008,"DE","BADEN-WÜRTTEMBERG",36000,NA
2009,"DE","BADEN-WÜRTTEMBERG",33600,NA
2010,"DE","BADEN-WÜRTTEMBERG",36400,1.01053
2011,"DE","BADEN-WÜRTTEMBERG",38700,NA
2012,"DE","BADEN-WÜRTTEMBERG",39200,NA
2013,"DE","BADEN-WÜRTTEMBERG",39900,0.980281
2000,"DE","Stuttgart",33300,NA
2001,"DE","Stuttgart",35000,NA
2002,"DE","Stuttgart",34800,NA
2003,"DE","Stuttgart",35200,NA
2004,"DE","Stuttgart",35200,NA
2005,"DE","Stuttgart",35100,NA
2006,"DE","Stuttgart",37700,NA
2007,"DE","Stuttgart",40200,NA
2008,"DE","Stuttgart",39800,NA
2009,"DE","Stuttgart",36600,NA
2010,"DE","Stuttgart",40500,NA
2011,"DE","Stuttgart",43000,NA
2012,"DE","Stuttgart",43900,NA
2013,"DE","Stuttgart",44700,NA
2000,"DE","Karlsruhe",29600,NA
2001,"DE","Karlsruhe",30600,NA
2002,"DE","Karlsruhe",31000,NA
2003,"DE","Karlsruhe",31000,NA
2004,"DE","Karlsruhe",31500,NA
2005,"DE","Karlsruhe",32200,NA
2006,"DE","Karlsruhe",33900,NA
2007,"DE","Karlsruhe",35400,NA
2008,"DE","Karlsruhe",36300,NA
2009,"DE","Karlsruhe",34500,NA
2010,"DE","Karlsruhe",36500,NA
2011,"DE","Karlsruhe",38500,NA
2012,"DE","Karlsruhe",38700,NA
2013,"DE","Karlsruhe",39000,NA
2000,"DE","Freiburg",25600,NA
2001,"DE","Freiburg",26200,NA
2002,"DE","Freiburg",26300,NA
2003,"DE","Freiburg",26300,NA
2004,"DE","Freiburg",26700,NA
2005,"DE","Freiburg",27100,NA
2006,"DE","Freiburg",28500,NA
2007,"DE","Freiburg",29800,NA
2008,"DE","Freiburg",30600,NA
2009,"DE","Freiburg",28900,NA
2010,"DE","Freiburg",30800,NA
